dt1,open,high,low,close,volume
2022-11-13 13:00:00,1236.78,1248.45,1233.01,1241.35,19419.1871
2022-11-13 14:00:00,1241.35,1245.38,1236.66,1238.94,17804.7376
2022-11-13 15:00:00,1238.93,1240.82,1223.9,1231.36,23120.2702
2022-11-13 16:00:00,1231.36,1237.34,1226.18,1233.28,20675.2356
2022-11-13 17:00:00,1233.29,1233.83,1220.01,1228.18,18362.4102
2022-11-13 18:00:00,1228.18,1231.99,1215.8,1225.69,19219.6094
2022-11-13 19:00:00,1225.7,1232.0,1222.3,1229.03,20968.8785
2022-11-13 20:00:00,1229.04,1232.22,1217.29,1219.14,17705.4165
2022-11-13 21:00:00,1219.14,1237.0,1200.66,1217.46,49696.534
2022-11-13 22:00:00,1217.47,1230.44,1215.32,1228.29,19891.0882
2022-11-13 23:00:00,1228.3,1228.89,1217.13,1221.49,18306.0302
2022-11-14 00:00:00,1221.5,1230.54,1193.1,1205.38,43939.378
2022-11-14 01:00:00,1205.38,1212.21,1180.92,1190.01,45297.6183
2022-11-14 02:00:00,1190.01,1196.51,1171.13,1193.86,44769.0111
2022-11-14 03:00:00,1193.86,1199.03,1187.42,1193.03,22246.202
2022-11-14 04:00:00,1193.02,1193.72,1175.66,1185.28,31742.5818
2022-11-14 05:00:00,1185.29,1190.0,1175.43,1181.6,24186.2335
2022-11-14 06:00:00,1181.6,1242.92,1177.9,1236.84,72579.8137
2022-11-14 07:00:00,1236.84,1262.0,1225.94,1260.07,74024.6398
2022-11-14 08:00:00,1260.06,1276.26,1257.14,1261.73,54515.507
2022-11-14 09:00:00,1261.72,1265.0,1252.0,1257.31,33862.32
2022-11-14 10:00:00,1257.31,1263.49,1252.89,1260.55,20277.1017
2022-11-14 11:00:00,1260.55,1269.99,1252.17,1252.33,27953.5004
2022-11-14 12:00:00,1252.34,1267.22,1243.59,1264.32,38595.2399
2022-11-14 13:00:00,1264.32,1291.2,1240.0,1259.16,104863.5617
2022-11-14 14:00:00,1259.16,1263.83,1235.0,1251.8,56162.4179
2022-11-14 15:00:00,1251.81,1255.37,1235.26,1245.32,33157.9703
2022-11-14 16:00:00,1245.32,1249.76,1226.44,1231.31,36880.4563
2022-11-14 17:00:00,1231.31,1244.33,1227.51,1240.95,20493.6179
2022-11-14 18:00:00,1240.95,1246.48,1235.95,1243.03,16478.7768
2022-11-14 19:00:00,1243.02,1243.73,1210.03,1216.27,38755.4133
2022-11-14 20:00:00,1216.26,1222.71,1210.09,1215.96,24129.4603
2022-11-14 21:00:00,1215.96,1228.75,1214.09,1227.51,16293.2572
2022-11-14 22:00:00,1227.5,1228.99,1213.82,1220.01,16847.4346
2022-11-14 23:00:00,1220.0,1249.97,1219.86,1243.28,36690.4924
2022-11-15 00:00:00,1243.29,1254.12,1239.12,1241.25,22351.8828
2022-11-15 01:00:00,1241.24,1262.23,1236.15,1258.32,31132.0114
